Date,Close,High,Low,Open,Volume,Price_Change,Percent_Change,MA7,MA30,MA120
2024-10-18,162.70248,163.98683,162.36398,162.4735,19757700,0.48787,0.00301,163.17326,160.75773,168.72357
2024-10-21,163.34964,163.77774,161.90599,162.23455,20946500,0.64716,0.00398,163.4563,161.26748,168.73761
2024-10-22,164.41493,165.04217,162.26441,162.26441,16568100,1.06529,0.00652,163.72654,161.8144,168.75159
2024-10-23,162.06528,165.09194,161.219,164.03658,18280500,-2.34966,-0.01429,163.41647,162.20003,168.72314
2024-10-24,162.00555,162.61288,160.30306,162.11507,22412500,-0.05972,-0.00037,163.02676,162.46652,168.68907
2024-10-25,164.54436,164.86294,162.70247,162.95138,19828900,2.5388,0.01567,163.04241,162.72571,168.66903
2024-10-28,165.98799,168.00908,163.23015,168.00908,32138600,1.44363,0.00877,163.58146,163.01311,168.63496
2024-10-29,168.93498,169.63192,166.35636,166.99355,42169000,2.94699,0.01775,164.47182,163.35693,168.64092
2024-10-30,173.69402,181.22082,173.29576,179.88669,68890800,4.75903,0.02817,165.94959,163.84312,168.68174
2024-10-31,170.35872,176.04366,170.2492,172.36985,44769000,-3.3353,-0.0192,166.7987,164.14081,168.7056
2024-11-01,170.53792,171.56341,168.13851,169.32329,31796500,0.1792,0.00105,168.00908,164.39634,168.72691
2024-11-04,168.49693,169.98038,167.27232,169.18389,21492700,-2.04099,-0.01197,168.93642,164.6416,168.72127
2024-11-05,168.99474,169.78126,168.09868,168.68608,18242100,0.4978,0.00295,169.57218,164.88884,168.70182
2024-11-06,175.73499,176.16311,172.73821,173.03689,33695500,6.74025,0.03988,170.96461,165.38731,168.72472
2024-11-07,179.95639,180.28494,176.41202,176.63106,25352900,4.22141,0.02402,172.5391,165.98534,168.76724
2024-11-08,177.56694,180.10573,177.29812,179.85683,22006200,-2.38945,-0.01328,173.09237,166.46323,168.78273
2024-11-11,179.55814,179.75725,177.68639,177.7959,17450400,1.9912,0.01121,174.40658,166.94444,168.80712
2024-11-12,180.82257,181.68876,178.60237,179.03049,25134900,1.26443,0.00704,175.87581,167.42997,168.85421
2024-11-13,178.0946,180.16547,177.75609,179.66767,23184000,-2.72797,-0.01509,177.24691,167.86206,168.90199
2024-11-14,174.8091,178.03488,173.55463,177.49724,31007500,-3.28551,-0.01845,178.07753,168.18464,168.91047
2024-11-15,171.73267,173.37542,170.46824,172.96721,32504600,-3.07643,-0.0176,177.50577,168.36484,168.88164
2024-11-18,174.53032,174.6697,172.14085,172.65857,20135300,2.79765,0.01629,176.73062,168.77371,168.88027
2024-11-19,177.33794,178.08464,172.79796,172.95726,23434900,2.80762,0.01609,176.6979,169.2297,168.93366
2024-11-20,175.20732,176.89985,173.01698,176.56135,18997100,-2.13062,-0.01201,176.07636,169.6983,168.96607
2024-11-21,166.894,173.36546,162.98124,173.13646,59734400,-8.31332,-0.04745,174.08656,169.88248,168.92365
2024-11-22,164.03659,165.72914,163.18037,165.12182,38604600,-2.85741,-0.01712,172.07828,169.93293,168.8523
2024-11-25,166.91391,167.88962,164.88287,165.36076,33135300,2.87732,0.01754,170.95039,170.0222,168.79151
2024-11-26,168.37746,169.0744,166.84422,166.89401,20486700,1.46355,0.00877,170.47108,170.14366,168.73199
2024-11-27,168.48695,168.73586,167.28228,168.25797,19266500,0.1095,0.00065,169.60774,170.27873,168.69218
2024-11-29,168.20819,168.68608,166.42606,167.76017,14257200,-0.27876,-0.00165,168.30349,170.47852,168.64382
2024-12-02,170.73705,171.32445,167.82987,168.02899,23789100,2.52885,0.01503,167.66488,170.74634,168.6032
2024-12-03,170.58769,171.92181,170.09985,170.73704,22248700,-0.14935,-0.00087,168.19255,170.98761,168.55164
2024-12-04,173.6044,174.14204,170.30894,170.39854,31615100,3.01671,0.01768,169.55938,171.29392,168.54701
2024-12-05,171.882,175.28699,171.57337,174.59006,21356200,-1.7224,-0.00992,170.26911,171.62115,168.51453
2024-12-06,173.94292,174.31129,171.10542,171.27468,21462400,2.06091,0.01199,171.06417,172.01906,168.49548
